平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
24.92,32.63,1.66,-1.86,0.26,0.43,0.37,17.23,2.02
10.94,24.40,1.76,-1.54,0.55,0.23,0.23,13.34,1.66
17.67,21.12,1.93,-1.41,0.22,0.48,0.52,8.41,2.02
8.12,31.79,1.68,-1.45,0.75,0.14,0.14,14.32,1.26
5.87,24.65,2.99,-2.97,0.78,0.18,0.15,10.62,2.11
22.96,27.02,2.03,-3.12,0.21,0.61,0.33,11.06,3.02
2.82,15.03,2.40,-1.18,0.85,0.12,0.20,5.49,1.29
15.40,36.34,1.69,-2.35,0.58,0.25,0.17,19.74,3.00
20.15,35.49,2.29,-1.74,0.47,0.32,0.41,19.26,3.86
17.45,20.84,1.72,-1.36,0.18,0.43,0.46,8.84,2.18
19.41,29.78,1.69,-1.40,0.36,0.34,0.36,15.33,1.91
4.84,10.63,2.20,-3.13,0.73,0.50,0.30,4.87,3.40
24.48,27.38,1.33,-2.30,0.15,0.65,0.30,9.22,3.86
10.04,32.65,1.83,-1.98,0.72,0.18,0.14,14.98,1.61
4.70,21.90,3.24,-4.80,0.80,0.23,0.03,9.10,1.93
6.75,10.00,1.87,-1.25,0.83,0.60,0.40,2.26,1.96
14.35,20.31,2.12,-1.45,0.43,0.44,0.44,7.93,2.02
2.71,26.89,2.18,-2.27,0.91,0.10,0.08,7.84,1.35
11.11,24.40,10.17,-1.50,0.55,0.08,0.41,12.88,4.97
4.68,12.50,7.35,-2.22,0.69,0.17,0.42,5.87,3.97
2.19,12.78,2.11,-0.98,0.92,0.20,0.28,3.56,1.54
1.47,10.70,4.07,-3.67,0.95,0.15,0.15,3.21,2.42
15.69,24.94,1.59,-1.58,0.40,0.37,0.35,12.26,1.78
4.26,21.40,1.57,-1.15,0.82,0.13,0.16,8.39,1.31
21.41,21.63,1.29,-1.35,0.02,0.52,0.46,5.01,1.68
14.52,19.82,1.59,-1.49,0.29,0.40,0.39,9.97,1.93
11.66,14.35,2.20,-1.71,0.35,0.44,0.44,4.35,2.51
13.76,15.76,1.38,-2.22,0.29,0.62,0.31,3.84,2.00
10.96,11.78,0.77,-0.73,0.27,0.60,0.40,1.56,1.06
22.52,22.90,1.02,-0.82,0.03,0.42,0.50,7.41,1.22
10.44,27.96,1.49,-1.79,0.64,0.21,0.16,13.63,1.50
2.09,14.64,2.78,-2.04,0.89,0.09,0.10,4.86,1.39
9.53,11.91,1.14,-0.89,0.42,0.44,0.39,3.14,1.27
37.07,42.97,0.60,-0.93,0.14,0.47,0.29,17.56,0.98
12.31,17.05,0.72,-1.44,0.47,0.67,0.24,5.73,1.31
24.27,26.06,0.99,-0.95,0.07,0.46,0.45,7.60,1.40
11.78,24.76,1.08,-1.47,0.53,0.29,0.17,12.99,1.13
22.69,27.39,1.88,-1.16,0.18,0.33,0.48,12.16,2.03
23.81,29.59,1.24,-1.87,0.21,0.48,0.31,13.39,1.83
10.38,11.82,0.98,-1.27,0.38,0.42,0.25,2.05,1.19
25.22,42.16,0.82,-1.06,0.40,0.31,0.22,21.78,1.07
33.86,46.14,0.87,-1.87,0.27,0.49,0.21,22.55,1.55
36.73,41.70,1.42,-1.17,0.12,0.39,0.46,17.05,2.76
11.51,13.00,1.40,-1.13,0.33,0.50,0.43,2.42,1.43
14.44,29.68,3.85,-1.24,0.54,0.16,0.44,14.92,4.45
8.89,12.58,1.89,-1.56,0.71,0.44,0.50,2.89,2.06
23.31,46.25,8.29,-1.85,0.51,0.11,0.45,25.17,6.23
32.33,54.73,1.14,-1.49,0.41,0.33,0.25,30.25,1.46
49.75,52.25,0.87,-1.08,0.05,0.50,0.39,15.14,1.34
24.82,25.45,1.65,-1.52,0.04,0.47,0.49,6.75,1.87
19.09,21.60,2.19,-1.71,0.13,0.41,0.46,7.98,2.98
9.95,10.00,0.10,0.0,0.50,1.00,0.00,0.07,0.00
29.57,31.22,1.10,-3.86,0.07,0.79,0.21,11.16,2.42
7.19,13.15,0.68,-0.77,0.71,0.53,0.35,4.13,0.94
27.37,28.58,1.26,-1.22,0.06,0.48,0.46,7.61,1.88
23.92,33.74,1.47,-2.18,0.29,0.43,0.26,19.28,3.42
11.38,14.00,1.70,-1.16,0.45,0.50,0.50,3.35,1.95
9.73,10.20,0.50,0.0,0.67,1.00,0.00,0.50,0.14
13.60,13.86,0.60,-0.62,0.07,0.57,0.29,1.38,0.82
3.81,17.94,2.05,-1.77,0.80,0.12,0.13,7.52,1.29
6.75,10.10,1.18,-0.70,0.90,0.44,0.44,1.54,1.26
10.50,11.98,0.83,-0.88,0.41,0.52,0.43,2.24,1.16
6.68,13.90,1.72,-1.23,0.74,0.35,0.38,5.37,1.91
12.43,13.10,1.03,-1.04,0.17,0.55,0.45,2.13,1.48
13.22,21.23,1.09,-0.87,0.44,0.36,0.42,9.52,1.22
3.38,10.20,2.53,-2.03,0.95,0.37,0.37,3.66,2.86
20.09,20.55,1.43,-0.58,0.04,0.26,0.62,5.19,1.36
9.60,11.60,1.57,-0.60,0.60,0.75,0.25,2.10,1.32
7.27,24.12,1.85,-1.51,0.72,0.17,0.17,11.23,1.37
23.66,25.40,0.93,-1.08,0.09,0.53,0.39,9.53,1.31
10.63,11.40,2.80,-1.00,0.33,0.50,0.50,1.42,2.69
23.88,25.10,0.92,-1.22,0.07,0.53,0.32,6.75,1.67
5.35,19.04,2.02,-1.95,0.73,0.17,0.14,8.70,1.46
12.23,24.19,1.12,-1.39,0.51,0.32,0.24,12.47,1.41
23.59,25.55,1.91,-1.14,0.10,0.40,0.60,9.48,2.13
